"","Recipe","Temp","OL","Time","Ammonia","pH","sCOD","TS","VS","Coliforms","Ecoli","Enterococci","Methane","RFW","DCS","FOG"
"96","FWS13",37,0.5,3,1110,7.51,11082.86,5.67,3.5,4.93772345622086,4.93772345622086,5.00484135575966,17.5,"0.75","0.25","0"
"97","FWS13",55,2,3,1360,7.23,11441.82,6.04,3.76,0,0,3.77677380241211,2.7,"0.75","0.25","0"
"98","FWS13",37,3.5,9,1475,7.34,7940.36,5.07,3.31,4.49555821254787,4.4756857129806,6.15032684372446,147.3,"0.75","0.25","0"
"99","FWS13",19,0.5,6,1450,7.49,9345.12,5.67,3.4,4.92376713713256,4.8432390089641,5.26951527912821,11.5,"0.75","0.25","0"
"100","FWS13",19,0.5,0,1994.611111,7.97,12311.34577,5.723264793,3.379870917,5.67148175992147,5.41147360728452,5.08592373534324,0,"0.75","0.25","0"
"101","FWS13",19,2,9,1755,7.19,11957.8,5.62,3.48,5.18441032578552,4.36363078011214,6.11384345308715,27,"0.75","0.25","0"
"102","FWS13",55,2,9,1435,7.46,12595.86,5.85,3.56,0,0,2.30319605742049,14,"0.75","0.25","0"
"103","FWS13",55,2,3,1660,7.2,10738.86,6.16,3.82,0,0,3.70251669743815,4.1,"0.75","0.25","0"
"104","FWS13",19,2,9,1550,7.15,10327.19,5.72,3.56,5.25261276814294,4.60639211484098,5.88654768733631,29.1,"0.75","0.25","0"
"105","FWS13",37,2,0,1978.444444,7.97,15071.64964,6.160857271,3.911447261,6.27333280495038,6.0135323357861,5.26601337049627,0,"0.75","0.25","0"
"106","FWS13",37,2,6,1350,7.44,8050.69,5.49,3.21,4.55024058653017,4.50244077682888,6.11384345308715,76.4,"0.75","0.25","0"
"107","FWS13",19,3.5,6,1330,6.93,13215,5.96,3.83,6.38467610246481,6.30098678121308,6.90794857529515,25.4,"0.75","0.25","0"
"108","FWS13",37,0.5,9,1370,7.53,7609.51,5.05,3.19,3.2332500095411,2.92992956008459,6.47712139948447,69.7,"0.75","0.25","0"
"109","FWS13",19,3.5,6,1270,6.9,12962.72,6.06,3.86,6.27411187629757,6.21346489469551,6.86805642067053,23.5,"0.75","0.25","0"
"110","FWS13",37,3.5,3,1480,7.06,8196.23,5.69,3.78,6.3453347109273,6.27411187629757,5.29804702904507,66.9,"0.75","0.25","0"
"111","FWS13",19,2,3,1190,7.06,13281.48,5.92,3.64,5.11384646042253,4.67998176845094,6.38374375532547,8.4,"0.75","0.25","0"
